id,class,path,fold
6411,1,train/cat/2313.png,1
26510,5,train/horse/4287.png,1
9238,1,train/cat/3094.png,4
23234,4,train/ship/1520.png,3
575,0,train/airplane/2802.png,0
19628,3,train/deer/3361.png,4
35472,7,train/bird/4428.png,0
43454,8,train/dog/3987.png,3
47160,9,train/automobile/2679.png,2
31187,6,train/frog/2756.png,1
36404,7,train/bird/0162.png,1
13786,2,train/truck/1986.png,3
26674,5,train/horse/4159.png,1
24671,4,train/ship/2255.png,4
6053,1,train/cat/4078.png,1
40938,8,train/dog/2406.png,0
14931,2,train/truck/0587.png,4
28851,5,train/horse/2870.png,3
14659,2,train/truck/0691.png,4
22723,4,train/ship/1442.png,2
48222,9,train/automobile/4950.png,3
20378,4,train/ship/0385.png,0
42691,8,train/dog/3240.png,2
11870,2,train/truck/4207.png,1
49006,9,train/automobile/4983.png,4
46145,9,train/automobile/4700.png,1
37431,7,train/bird/1966.png,2
46950,9,train/automobile/4292.png,1
27320,5,train/horse/1544.png,2
19711,3,train/deer/3309.png,4
16132,3,train/deer/1755.png,1
29399,5,train/horse/3066.png,4
47451,9,train/automobile/0374.png,2
48922,9,train/automobile/4523.png,3
27509,5,train/horse/1402.png,2
24783,4,train/ship/0382.png,4
37706,7,train/bird/1236.png,2
47277,9,train/automobile/4408.png,2
32297,6,train/frog/4098.png,2
11744,2,train/truck/1372.png,1
26340,5,train/horse/2090.png,1
36361,7,train/bird/1926.png,1
10451,2,train/truck/1527.png,0
30297,6,train/frog/1397.png,0
14237,2,train/truck/4247.png,4
49023,9,train/automobile/2698.png,4
19241,3,train/deer/1311.png,4
38718,7,train/bird/4453.png,3
24231,4,train/ship/2437.png,4
19766,3,train/deer/4136.png,4
23464,4,train/ship/4193.png,3
20405,4,train/ship/3550.png,0
12550,2,train/truck/1530.png,2
20752,4,train/ship/2040.png,0
7172,1,train/cat/4210.png,2
47982,9,train/automobile/0981.png,2
35841,7,train/bird/4747.png,0
30190,6,train/frog/4940.png,0
30723,6,train/frog/1625.png,0
8868,1,train/cat/0940.png,3
45795,9,train/automobile/2616.png,0
15844,3,train/deer/4351.png,0
33624,6,train/frog/2772.png,3
5352,1,train/cat/2547.png,0
33010,6,train/frog/4576.png,3
32382,6,train/frog/1009.png,2
29372,5,train/horse/3280.png,4
2166,0,train/airplane/0008.png,2
40816,8,train/dog/1291.png,0
40127,8,train/dog/3466.png,0
40393,8,train/dog/4249.png,0
36975,7,train/bird/4823.png,1
1034,0,train/airplane/1758.png,1
48640,9,train/automobile/3624.png,3
41459,8,train/dog/2097.png,1
36864,7,train/bird/3808.png,1
48112,9,train/automobile/4775.png,3
35038,7,train/bird/1707.png,0
49093,9,train/automobile/1997.png,4
12335,2,train/truck/1551.png,2
19931,3,train/deer/0587.png,4
43788,8,train/dog/4052.png,3
45743,9,train/automobile/1405.png,0
34615,6,train/frog/3878.png,4
18376,3,train/deer/2842.png,3
20135,4,train/ship/4348.png,0
31717,6,train/frog/4276.png,1
21632,4,train/ship/3625.png,1
17194,3,train/deer/1878.png,2
41709,8,train/dog/0677.png,1
34403,6,train/frog/4099.png,4
9612,1,train/cat/0117.png,4
3107,0,train/airplane/2186.png,3
23687,4,train/ship/0996.png,3
7777,1,train/cat/1261.png,2
31455,6,train/frog/3464.png,1
49056,9,train/automobile/3524.png,4
4824,0,train/airplane/0137.png,4
28749,5,train/horse/2438.png,3
46572,9,train/automobile/4510.png,1
26248,5,train/horse/3355.png,1
44029,8,train/dog/0191.png,4
10257,2,train/truck/1406.png,0
9112,1,train/cat/2894.png,4
39094,7,train/bird/4290.png,4
4276,0,train/airplane/2794.png,4
14711,2,train/truck/3309.png,4
39251,7,train/bird/1014.png,4
7378,1,train/cat/3995.png,2
18339,3,train/deer/3702.png,3
41103,8,train/dog/3985.png,1
31094,6,train/frog/0200.png,1
21909,4,train/ship/4583.png,1
47029,9,train/automobile/2302.png,2
11012,2,train/truck/2962.png,1
37338,7,train/bird/4176.png,2
16640,3,train/deer/3153.png,1
